input_identifier,resolved_identifier,record_type,name,latitude_dd,longitude_dd,country,state,city,source_dataset,nasr_cycle_date,appears_in,source_url,notes
DSM,DSM,Navigation aid,DES MOINES,41.4376248,-93.64855794,US,IA,DES MOINES,NAV,2026-06-11,Original user route list,https://www.faa.gov/air_traffic/flight_info/aeronav/Aero_Data/NASR_Subscription/2026-06-11/,type=VORTAC; status=OPERATIONAL_RESTRICTED
DSM,DSM,Navigation aid,DES MOINES,41.53899808,-93.65742563,US,IA,DES MOINES,NAV,2026-06-11,Original user route list,https://www.faa.gov/air_traffic/flight_info/aeronav/Aero_Data/NASR_Subscription/2026-06-11/,type=VOT; status=OPERATIONAL_IFR
DTW,DTW,Airport / landing facility,DETROIT METRO WAYNE COUNTY,42.21243111,-83.35339333,US,MI,DETROIT,APT,2026-06-11,Original user route list,https://www.faa.gov/air_traffic/flight_info/aeronav/Aero_Data/NASR_Subscription/2026-06-11/,
DTW,DTW,Navigation aid,DETROIT MET WAYNE,42.23166666,-83.35833333,US,MI,DETROIT,NAV,2026-06-11,Original user route list,https://www.faa.gov/air_traffic/flight_info/aeronav/Aero_Data/NASR_Subscription/2026-06-11/,type=VOT; status=OPERATIONAL_IFR
DUCEN,DUCEN,Fix / reporting point / waypoint,,29.27606388,-81.32312222,US,FL,,FIX,2026-06-11,FAA-mined route text,https://www.faa.gov/air_traffic/flight_info/aeronav/Aero_Data/NASR_Subscription/2026-06-11/,"chartTypes=CONTROLLER HIGH,CONTROLLER LOW,ENROUTE HIGH,ENROUTE LOW,SID"
DVC,DVC,Navigation aid,DOVE CREEK,37.80873972,-108.93127388,US,CO,DOVE CREEK,NAV,2026-06-11,Original user route list,https://www.faa.gov/air_traffic/flight_info/aeronav/Aero_Data/NASR_Subscription/2026-06-11/,type=VORTAC; status=OPERATIONAL_RESTRICTED
EARND,EARND,Fix / reporting point / waypoint,,41.42527777,-87.57222222,US,IL,,FIX,2026-06-11,FAA-mined route text,https://www.faa.gov/air_traffic/flight_info/aeronav/Aero_Data/NASR_Subscription/2026-06-11/,"chartTypes=CONTROLLER HIGH,CONTROLLER LOW,ENROUTE HIGH,ENROUTE LOW,SID,STAR"
EAU,EAU,Airport / landing facility,CHIPPEWA VALLEY RGNL,44.86580555,-91.48425,US,WI,EAU CLAIRE,APT,2026-06-11,Original user route list,https://www.faa.gov/air_traffic/flight_info/aeronav/Aero_Data/NASR_Subscription/2026-06-11/,
EAU,EAU,Navigation aid,EAU CLAIRE,44.89767002,-91.47853497,US,WI,EAU CLAIRE,NAV,2026-06-11,Original user route list,https://www.faa.gov/air_traffic/flight_info/aeronav/Aero_Data/NASR_Subscription/2026-06-11/,type=VORTAC; status=OPERATIONAL_RESTRICTED
EFFAY,EFFAY,Fix / reporting point / waypoint,,34.25851944,-80.51053888,US,SC,,FIX,2026-06-11,FAA-mined route text,https://www.faa.gov/air_traffic/flight_info/aeronav/Aero_Data/NASR_Subscription/2026-06-11/,"chartTypes=CONTROLLER HIGH,ENROUTE HIGH"
ELANR,ELANR,Fix / reporting point / waypoint,,41.20166666,-87.53333333,US,IL,,FIX,2026-06-11,FAA-mined route text,https://www.faa.gov/air_traffic/flight_info/aeronav/Aero_Data/NASR_Subscription/2026-06-11/,"chartTypes=CONTROLLER HIGH,CONTROLLER LOW,ENROUTE HIGH,ENROUTE LOW,SID,STAR"
ELLDE,ELLDE,Fix / reporting point / waypoint,,34.40404722,-78.69738888,US,NC,,FIX,2026-06-11,FAA-mined route text,https://www.faa.gov/air_traffic/flight_info/aeronav/Aero_Data/NASR_Subscription/2026-06-11/,"chartTypes=CONTROLLER HIGH,CONTROLLER LOW,ENROUTE HIGH,SID"
ELMSZ,ELMSZ,Fix / reporting point / waypoint,,33.67683611,-79.29987777,US,SC,,FIX,2026-06-11,FAA-mined route text,https://www.faa.gov/air_traffic/flight_info/aeronav/Aero_Data/NASR_Subscription/2026-06-11/,"chartTypes=CONTROLLER HIGH,ENROUTE HIGH"
EMI,EMI,Navigation aid,WESTMINSTER,39.49500738,-76.97857197,US,MD,WESTMINSTER,NAV,2026-06-11,Original user route list,https://www.faa.gov/air_traffic/flight_info/aeronav/Aero_Data/NASR_Subscription/2026-06-11/,type=VORTAC; status=OPERATIONAL_RESTRICTED
EMMLY,EMMLY,Fix / reporting point / waypoint,,40.45,-87.33333333,US,IN,,FIX,2026-06-11,FAA-mined route text,https://www.faa.gov/air_traffic/flight_info/aeronav/Aero_Data/NASR_Subscription/2026-06-11/,"chartTypes=CONTROLLER HIGH,CONTROLLER LOW,ENROUTE HIGH,ENROUTE LOW,SID,STAR"
ENDEW,ENDEW,Fix / reporting point / waypoint,,28.30048055,-82.93241666,US,FL,,FIX,2026-06-11,FAA-mined route text,https://www.faa.gov/air_traffic/flight_info/aeronav/Aero_Data/NASR_Subscription/2026-06-11/,"chartTypes=CONTROLLER HIGH,ENROUTE HIGH,STAR"
ENEME,ENEME,Fix / reporting point / waypoint,,30.70335833,-82.43591944,US,GA,,FIX,2026-06-11,FAA-mined route text,https://www.faa.gov/air_traffic/flight_info/aeronav/Aero_Data/NASR_Subscription/2026-06-11/,"chartTypes=CONTROLLER HIGH,CONTROLLER LOW,ENROUTE HIGH,ENROUTE LOW,STAR"
ENI,ENI,Navigation aid,MENDOCINO,39.05321675,-123.27432666,US,CA,UKIAH,NAV,2026-06-11,Original user route list,https://www.faa.gov/air_traffic/flight_info/aeronav/Aero_Data/NASR_Subscription/2026-06-11/,type=VORTAC; status=OPERATIONAL_IFR
ENO,ENO,Navigation aid,SMYRNA,39.23164669,-75.51596994,US,DE,KENTON,NAV,2026-06-11,Original user route list,https://www.faa.gov/air_traffic/flight_info/aeronav/Aero_Data/NASR_Subscription/2026-06-11/,type=VORTAC; status=OPERATIONAL_RESTRICTED
ERECO,ERECO,Fix / reporting point / waypoint,,39.98638888,-87.11666666,US,IN,,FIX,2026-06-11,FAA-mined route text,https://www.faa.gov/air_traffic/flight_info/aeronav/Aero_Data/NASR_Subscription/2026-06-11/,"chartTypes=CONTROLLER HIGH,CONTROLLER LOW,ENROUTE HIGH,ENROUTE LOW,SID"
ETG,ETG,Navigation aid,KEATING,41.21494972,-78.14275638,US,PA,KEATING,NAV,2026-06-11,Original user route list + FAA-mined route text,https://www.faa.gov/air_traffic/flight_info/aeronav/Aero_Data/NASR_Subscription/2026-06-11/,type=VORTAC; status=OPERATIONAL_IFR
EUG,EUG,Airport / landing facility,MAHLON SWEET FLD,44.12458333,-123.21197222,US,OR,EUGENE,APT,2026-06-11,Original user route list,https://www.faa.gov/air_traffic/flight_info/aeronav/Aero_Data/NASR_Subscription/2026-06-11/,
EUG,EUG,Navigation aid,EUGENE,44.12089841,-123.22283125,US,OR,EUGENE,NAV,2026-06-11,Original user route list,https://www.faa.gov/air_traffic/flight_info/aeronav/Aero_Data/NASR_Subscription/2026-06-11/,type=VORTAC; status=OPERATIONAL_RESTRICTED
EWC,EWC,Navigation aid,ELLWOOD CITY,40.82493266,-80.21154555,US,PA,ELLWOOD CITY,NAV,2026-06-11,Original user route list,https://www.faa.gov/air_traffic/flight_info/aeronav/Aero_Data/NASR_Subscription/2026-06-11/,type=VOR/DME; status=OPERATIONAL_RESTRICTED
EWM,EWM,Navigation aid,NEWMAN,31.95178611,-106.27245833,US,TX,NEWMAN,NAV,2026-06-11,Original user route list,https://www.faa.gov/air_traffic/flight_info/aeronav/Aero_Data/NASR_Subscription/2026-06-11/,type=VORTAC; status=OPERATIONAL_RESTRICTED
EWR,EWR,Airport / landing facility,NEWARK LIBERTY INTL,40.69248055,-74.16868777,US,NJ,NEWARK,APT,2026-06-11,Original user route list,https://www.faa.gov/air_traffic/flight_info/aeronav/Aero_Data/NASR_Subscription/2026-06-11/,
EWR,EWR,Navigation aid,MARYANN,40.703384,-74.18742252,US,NJ,NEWARK,NAV,2026-06-11,Original user route list,https://www.faa.gov/air_traffic/flight_info/aeronav/Aero_Data/NASR_Subscription/2026-06-11/,type=FAN_MARKER; status=OPERATIONAL_IFR
FAK,FAK,Navigation aid,FLAT ROCK,37.52850944,-77.82821916,US,VA,FLAT ROCK,NAV,2026-06-11,Original user route list,https://www.faa.gov/air_traffic/flight_info/aeronav/Aero_Data/NASR_Subscription/2026-06-11/,type=VORTAC; status=OPERATIONAL_RESTRICTED
FAM,FAM,Airport / landing facility,FARMINGTON RGNL,37.76089222,-90.42866805,US,MO,FARMINGTON,APT,2026-06-11,FAA-mined route text,https://www.faa.gov/air_traffic/flight_info/aeronav/Aero_Data/NASR_Subscription/2026-06-11/,
FAM,FAM,Navigation aid,FARMINGTON,37.67346288,-90.23406127,US,MO,FARMINGTON,NAV,2026-06-11,FAA-mined route text,https://www.faa.gov/air_traffic/flight_info/aeronav/Aero_Data/NASR_Subscription/2026-06-11/,type=VORTAC; status=OPERATIONAL_RESTRICTED
FIM,FIM,Navigation aid,FILLMORE,34.35669361,-118.88129111,US,CA,FILLMORE,NAV,2026-06-11,Original user route list,https://www.faa.gov/air_traffic/flight_info/aeronav/Aero_Data/NASR_Subscription/2026-06-11/,type=VORTAC; status=OPERATIONAL_RESTRICTED
FISHO,FISHO,Fix / reporting point / waypoint,,33.27951388,-81.41208888,US,SC,,FIX,2026-06-11,FAA-mined route text,https://www.faa.gov/air_traffic/flight_info/aeronav/Aero_Data/NASR_Subscription/2026-06-11/,"chartTypes=CONTROLLER HIGH,ENROUTE HIGH"
FLL,FLL,Airport / landing facility,FORT LAUDERDALE/HOLLYWOOD INTL,26.07166666,-80.14969444,US,FL,FORT LAUDERDALE,APT,2026-06-11,Original user route list,https://www.faa.gov/air_traffic/flight_info/aeronav/Aero_Data/NASR_Subscription/2026-06-11/,
FLL,FLL,Navigation aid,FORT LAUDERDALE,26.07394338,-80.16644183,US,FL,FORT LAUDERDALE,NAV,2026-06-11,Original user route list,https://www.faa.gov/air_traffic/flight_info/aeronav/Aero_Data/NASR_Subscription/2026-06-11/,type=VOR/DME; status=OPERATIONAL_RESTRICTED
FORTL,FORTL,Fix / reporting point / waypoint,,26.30938055,-81.35235,US,FL,,FIX,2026-06-11,Original user route list,https://www.faa.gov/air_traffic/flight_info/aeronav/Aero_Data/NASR_Subscription/2026-06-11/,"chartTypes=CONTROLLER LOW,ENROUTE LOW,IAP,STAR"
FROGZ,FROGZ,Fix / reporting point / waypoint,,25.91317777,-81.037,US,FL,,FIX,2026-06-11,Original user route list,https://www.faa.gov/air_traffic/flight_info/aeronav/Aero_Data/NASR_Subscription/2026-06-11/,"chartTypes=CONTROLLER HIGH,CONTROLLER LOW,ENROUTE HIGH,ENROUTE LOW,STAR"
FTZ,FTZ,Navigation aid,FORISTELL,38.69433369,-90.97126933,US,MO,FORISTELL,NAV,2026-06-11,FAA-mined route text,https://www.faa.gov/air_traffic/flight_info/aeronav/Aero_Data/NASR_Subscription/2026-06-11/,type=VORTAC; status=OPERATIONAL_RESTRICTED
GAD,GAD,Airport / landing facility,NORTHEAST ALABAMA RGNL,33.97040527,-86.09128861,US,AL,GADSDEN,APT,2026-06-11,FAA-mined route text,https://www.faa.gov/air_traffic/flight_info/aeronav/Aero_Data/NASR_Subscription/2026-06-11/,
GAD,GAD,Navigation aid,GADSDEN,33.97640305,-86.08355694,US,AL,GADSDEN,NAV,2026-06-11,FAA-mined route text,https://www.faa.gov/air_traffic/flight_info/aeronav/Aero_Data/NASR_Subscription/2026-06-11/,type=VOR/DME; status=OPERATIONAL_RESTRICTED
GEARS,GEARS,Fix / reporting point / waypoint,,37.10200833,-77.39011944,US,VA,,FIX,2026-06-11,FAA-mined route text,https://www.faa.gov/air_traffic/flight_info/aeronav/Aero_Data/NASR_Subscription/2026-06-11/,"chartTypes=CONTROLLER HIGH,CONTROLLER LOW,ENROUTE HIGH"
GIBBS,GIBBS,Fix / reporting point / waypoint,,27.57423333,-82.28063055,US,FL,,FIX,2026-06-11,Original user route list,https://www.faa.gov/air_traffic/flight_info/aeronav/Aero_Data/NASR_Subscription/2026-06-11/,chartTypes=IAP
GOLDN,GOLDN,Fix / reporting point / waypoint,,42.30891388,-90.71190555,US,IA,,FIX,2026-06-11,Original user route list,https://www.faa.gov/air_traffic/flight_info/aeronav/Aero_Data/NASR_Subscription/2026-06-11/,chartTypes=IAP
GSO,GSO,Airport / landing facility,PIEDMONT TRIAD INTL,36.10132666,-79.94112277,US,NC,GREENSBORO,APT,2026-06-11,Original user route list + FAA-mined route text,https://www.faa.gov/air_traffic/flight_info/aeronav/Aero_Data/NASR_Subscription/2026-06-11/,
GSO,GSO,Navigation aid,GREENSBORO,36.045693,-79.976371,US,NC,GREENSBORO,NAV,2026-06-11,Original user route list + FAA-mined route text,https://www.faa.gov/air_traffic/flight_info/aeronav/Aero_Data/NASR_Subscription/2026-06-11/,type=VORTAC; status=OPERATIONAL_RESTRICTED
GUP,GUP,Airport / landing facility,GALLUP MUNI,35.51105833,-108.78930944,US,NM,GALLUP,APT,2026-06-11,Original user route list,https://www.faa.gov/air_traffic/flight_info/aeronav/Aero_Data/NASR_Subscription/2026-06-11/,
GUP,GUP,Navigation aid,GALLUP,35.47600072,-108.87261452,US,NM,GALLUP,NAV,2026-06-11,Original user route list,https://www.faa.gov/air_traffic/flight_info/aeronav/Aero_Data/NASR_Subscription/2026-06-11/,type=VORTAC; status=OPERATIONAL_RESTRICTED
GVE,GVE,Airport / landing facility,GORDONSVILLE MUNI,38.15598416,-78.16577972,US,VA,GORDONSVILLE,APT,2026-06-11,Original user route list + FAA-mined route text,https://www.faa.gov/air_traffic/flight_info/aeronav/Aero_Data/NASR_Subscription/2026-06-11/,
GVE,GVE,Navigation aid,GORDONSVILLE,38.01359938,-78.15302658,US,VA,GORDONSVILLE,NAV,2026-06-11,Original user route list + FAA-mined route text,https://www.faa.gov/air_traffic/flight_info/aeronav/Aero_Data/NASR_Subscription/2026-06-11/,type=VORTAC; status=OPERATIONAL_RESTRICTED
HAARP,HAARP,Fix / reporting point / waypoint,,41.11635277,-73.59348333,US,CT,,FIX,2026-06-11,Original user route list,https://www.faa.gov/air_traffic/flight_info/aeronav/Aero_Data/NASR_Subscription/2026-06-11/,"chartTypes=CONTROLLER LOW,ENROUTE LOW,IAP,STAR"
HANKO,HANKO,Fix / reporting point / waypoint,,33.83835555,-85.64853055,US,AL,,FIX,2026-06-11,FAA-mined route text,https://www.faa.gov/air_traffic/flight_info/aeronav/Aero_Data/NASR_Subscription/2026-06-11/,"chartTypes=CONTROLLER,ENROUTE HIGH,ENROUTE LOW,SID"
HAWKZ,HAWKZ,Fix / reporting point / waypoint,,46.78470277,-122.73896944,US,WA,,FIX,2026-06-11,Original user route list,https://www.faa.gov/air_traffic/flight_info/aeronav/Aero_Data/NASR_Subscription/2026-06-11/,"chartTypes=CONTROLLER LOW,ENROUTE LOW,STAR"
HAYDO,HAYDO,Fix / reporting point / waypoint,,39.20650277,-75.38061111,US,DE,,FIX,2026-06-11,FAA-mined route text,https://www.faa.gov/air_traffic/flight_info/aeronav/Aero_Data/NASR_Subscription/2026-06-11/,chartTypes=ENROUTE LOW
HBU,HBU,Navigation aid,BLUE MESA,38.45211641,-107.03971411,US,CO,GUNNISON,NAV,2026-06-11,Original user route list,https://www.faa.gov/air_traffic/flight_info/aeronav/Aero_Data/NASR_Subscription/2026-06-11/,type=VOR/DME; status=OPERATIONAL_RESTRICTED
HEC,HEC,Navigation aid,HECTOR,34.79701791,-116.46292202,US,CA,HECTOR,NAV,2026-06-11,Original user route list,https://www.faa.gov/air_traffic/flight_info/aeronav/Aero_Data/NASR_Subscription/2026-06-11/,type=VORTAC; status=OPERATIONAL_RESTRICTED
HITMN,HITMN,Fix / reporting point / waypoint,,36.13679722,-86.68479166,US,TN,,FIX,2026-06-11,FAA-mined route text,https://www.faa.gov/air_traffic/flight_info/aeronav/Aero_Data/NASR_Subscription/2026-06-11/,"chartTypes=CONTROLLER HIGH,CONTROLLER LOW,ENROUTE HIGH,ENROUTE LOW,SECTIONAL"
HNK,HNK,Navigation aid,HANCOCK,42.06305694,-75.31628444,US,NY,HANCOCK,NAV,2026-06-11,Original user route list,https://www.faa.gov/air_traffic/flight_info/aeronav/Aero_Data/NASR_Subscription/2026-06-11/,type=VOR/DME; status=OPERATIONAL_IFR
HUO,HUO,Navigation aid,HUGUENOT,41.40968661,-74.59159425,US,NY,HUGUENOT,NAV,2026-06-11,Original user route list,https://www.faa.gov/air_traffic/flight_info/aeronav/Aero_Data/NASR_Subscription/2026-06-11/,type=VOR/DME; status=OPERATIONAL_RESTRICTED
HURTS,HURTS,Fix / reporting point / waypoint,,37.46163055,-76.95493055,US,VA,,FIX,2026-06-11,FAA-mined route text,https://www.faa.gov/air_traffic/flight_info/aeronav/Aero_Data/NASR_Subscription/2026-06-11/,"chartTypes=CONTROLLER HIGH,CONTROLLER LOW,ENROUTE HIGH,STAR"
IAD,IAD,Airport / landing facility,WASHINGTON DULLES INTL,38.94745638,-77.45992861,US,DC,WASHINGTON,APT,2026-06-11,Original user route list,https://www.faa.gov/air_traffic/flight_info/aeronav/Aero_Data/NASR_Subscription/2026-06-11/,
IGARY,IGARY,Fix / reporting point / waypoint,,32.57815833,-80.37666944,US,SC,,FIX,2026-06-11,FAA-mined route text,https://www.faa.gov/air_traffic/flight_info/aeronav/Aero_Data/NASR_Subscription/2026-06-11/,"chartTypes=CONTROLLER HIGH,ENROUTE HIGH"
IIU,IIU,Navigation aid,LOUISVILLE,38.10346438,-85.57743658,US,KY,LOUISVILLE,NAV,2026-06-11,FAA-mined route text,https://www.faa.gov/air_traffic/flight_info/aeronav/Aero_Data/NASR_Subscription/2026-06-11/,type=VORTAC; status=OPERATIONAL_RESTRICTED
ILM,ILM,Airport / landing facility,WILMINGTON INTL,34.27115138,-77.90289055,US,NC,WILMINGTON,APT,2026-06-11,Original user route list,https://www.faa.gov/air_traffic/flight_info/aeronav/Aero_Data/NASR_Subscription/2026-06-11/,
ILM,ILM,Navigation aid,WILMINGTON,34.35164822,-77.87438038,US,NC,WILMINGTON,NAV,2026-06-11,Original user route list,https://www.faa.gov/air_traffic/flight_info/aeronav/Aero_Data/NASR_Subscription/2026-06-11/,type=VORTAC; status=OPERATIONAL_RESTRICTED
IOW,IOW,Airport / landing facility,IOWA CITY MUNI,41.63963222,-91.54788944,US,IA,IOWA CITY,APT,2026-06-11,Original user route list,https://www.faa.gov/air_traffic/flight_info/aeronav/Aero_Data/NASR_Subscription/2026-06-11/,
IOW,IOW,Navigation aid,IOWA CITY,41.51896019,-91.61325252,US,IA,IOWA CITY,NAV,2026-06-11,Original user route list,https://www.faa.gov/air_traffic/flight_info/aeronav/Aero_Data/NASR_Subscription/2026-06-11/,type=VOR/DME; status=OPERATIONAL_IFR
IRK,IRK,Airport / landing facility,KIRKSVILLE RGNL,40.09347222,-92.54491666,US,MO,KIRKSVILLE,APT,2026-06-11,Original user route list + FAA-mined route text,https://www.faa.gov/air_traffic/flight_info/aeronav/Aero_Data/NASR_Subscription/2026-06-11/,
IRK,IRK,Navigation aid,KIRKSVILLE,40.13501772,-92.59171463,US,MO,KIRKSVILLE,NAV,2026-06-11,Original user route list + FAA-mined route text,https://www.faa.gov/air_traffic/flight_info/aeronav/Aero_Data/NASR_Subscription/2026-06-11/,type=VORTAC; status=OPERATIONAL_IFR
IRNMN,IRNMN,Fix / reporting point / waypoint,,34.25571111,-118.89404722,US,CA,,FIX,2026-06-11,Original user route list,https://www.faa.gov/air_traffic/flight_info/aeronav/Aero_Data/NASR_Subscription/2026-06-11/,chartTypes=STAR
IRQ,IRQ,Navigation aid,COLLIERS,33.70735333,-82.16206444,US,SC,COLLIERS,NAV,2026-06-11,FAA-mined route text,https://www.faa.gov/air_traffic/flight_info/aeronav/Aero_Data/NASR_Subscription/2026-06-11/,type=VORTAC; status=OPERATIONAL_IFR
ISO,ISO,Airport / landing facility,KINSTON RGNL JETPORT AT STALLINGS FLD,35.33143277,-77.60883,US,NC,KINSTON,APT,2026-06-11,Original user route list,https://www.faa.gov/air_traffic/flight_info/aeronav/Aero_Data/NASR_Subscription/2026-06-11/,
ISO,ISO,Navigation aid,KINSTON,35.37094752,-77.55831522,US,NC,KINSTON,NAV,2026-06-11,Original user route list,https://www.faa.gov/air_traffic/flight_info/aeronav/Aero_Data/NASR_Subscription/2026-06-11/,type=VORTAC; status=OPERATIONAL_RESTRICTED
JAMIE,JAMIE,Fix / reporting point / waypoint,,37.60571666,-75.96355833,US,VA,,FIX,2026-06-11,FAA-mined route text,https://www.faa.gov/air_traffic/flight_info/aeronav/Aero_Data/NASR_Subscription/2026-06-11/,"chartTypes=CONTROLLER HIGH,CONTROLLER LOW,ENROUTE HIGH,ENROUTE LOW,SECTIONAL,SID,STAR"
JARLO,JARLO,Fix / reporting point / waypoint,,38.34968055,-81.76991111,US,WV,,FIX,2026-06-11,FAA-mined route text,https://www.faa.gov/air_traffic/flight_info/aeronav/Aero_Data/NASR_Subscription/2026-06-11/,"chartTypes=CONTROLLER LOW,ENROUTE LOW,SECTIONAL,STAR"
JEVED,JEVED,Fix / reporting point / waypoint,,31.25072222,-81.06115,US,GA,,FIX,2026-06-11,FAA-mined route text,https://www.faa.gov/air_traffic/flight_info/aeronav/Aero_Data/NASR_Subscription/2026-06-11/,"chartTypes=CONTROLLER HIGH,ENROUTE HIGH"
JFK,JFK,Airport / landing facility,JOHN F KENNEDY INTL,40.63992805,-73.77869222,US,NY,NEW YORK,APT,2026-06-11,Original user route list + FAA-mined route text,https://www.faa.gov/air_traffic/flight_info/aeronav/Aero_Data/NASR_Subscription/2026-06-11/,
JFK,JFK,Navigation aid,KENNEDY,40.63288377,-73.77139175,US,NY,NEW YORK,NAV,2026-06-11,Original user route list + FAA-mined route text,https://www.faa.gov/air_traffic/flight_info/aeronav/Aero_Data/NASR_Subscription/2026-06-11/,type=VOR/DME; status=OPERATIONAL_RESTRICTED
JFUND,JFUND,Fix / reporting point / waypoint,,42.58648333,-71.82109166,US,MA,,FIX,2026-06-11,Original user route list,https://www.faa.gov/air_traffic/flight_info/aeronav/Aero_Data/NASR_Subscription/2026-06-11/,chartTypes=STAR
JHW,JHW,Airport / landing facility,CHAUTAUQUA COUNTY/JAMESTOWN,42.15339444,-79.25802277,US,NY,JAMESTOWN,APT,2026-06-11,Original user route list + FAA-mined route text,https://www.faa.gov/air_traffic/flight_info/aeronav/Aero_Data/NASR_Subscription/2026-06-11/,
JHW,JHW,Navigation aid,JAMESTOWN,42.18860694,-79.12130763,US,NY,JAMESTOWN,NAV,2026-06-11,Original user route list + FAA-mined route text,https://www.faa.gov/air_traffic/flight_info/aeronav/Aero_Data/NASR_Subscription/2026-06-11/,type=VOR/DME; status=OPERATIONAL_RESTRICTED
JLI,JLI,Navigation aid,JULIAN,33.14045861,-116.58593472,US,CA,JULIAN,NAV,2026-06-11,Original user route list,https://www.faa.gov/air_traffic/flight_info/aeronav/Aero_Data/NASR_Subscription/2026-06-11/,type=VORTAC; status=OPERATIONAL_RESTRICTED
JOHAR,JOHAR,Fix / reporting point / waypoint,,34.32815277,-78.59365555,US,NC,,FIX,2026-06-11,FAA-mined route text,https://www.faa.gov/air_traffic/flight_info/aeronav/Aero_Data/NASR_Subscription/2026-06-11/,"chartTypes=CONTROLLER HIGH,CONTROLLER LOW,ENROUTE HIGH,SID"
JROSS,JROSS,Fix / reporting point / waypoint,,32.71111111,-80.62722222,US,SC,,FIX,2026-06-11,FAA-mined route text,https://www.faa.gov/air_traffic/flight_info/aeronav/Aero_Data/NASR_Subscription/2026-06-11/,"chartTypes=CONTROLLER HIGH,ENROUTE HIGH"
JST,JST,Airport / landing facility,JOHN MURTHA JOHNSTOWN/CAMBRIA COUNTY,40.31555555,-78.83466666,US,PA,JOHNSTOWN,APT,2026-06-11,FAA-mined route text,https://www.faa.gov/air_traffic/flight_info/aeronav/Aero_Data/NASR_Subscription/2026-06-11/,
JST,JST,Navigation aid,JOHNSTOWN,40.31672561,-78.8341665,US,PA,JOHNSTOWN,NAV,2026-06-11,FAA-mined route text,https://www.faa.gov/air_traffic/flight_info/aeronav/Aero_Data/NASR_Subscription/2026-06-11/,type=VOR/DME; status=OPERATIONAL_RESTRICTED
JZI,JZI,Airport / landing facility,CHARLESTON EXEC,32.70102777,-80.00325,US,SC,CHARLESTON,APT,2026-06-11,Original user route list,https://www.faa.gov/air_traffic/flight_info/aeronav/Aero_Data/NASR_Subscription/2026-06-11/,
KAYYS,KAYYS,Fix / reporting point / waypoint,,42.88443333,-84.58066666,US,MI,,FIX,2026-06-11,FAA-mined route text,https://www.faa.gov/air_traffic/flight_info/aeronav/Aero_Data/NASR_Subscription/2026-06-11/,"chartTypes=CONTROLLER HIGH,ENROUTE HIGH,STAR"
KBNA,BNA,Airport / landing facility,NASHVILLE INTL,36.124475,-86.67818055,US,TN,NASHVILLE,APT,2026-06-11,FAA-mined route text,https://www.faa.gov/air_traffic/flight_info/aeronav/Aero_Data/NASR_Subscription/2026-06-11/,Airport alias match for KBNA -> BNA
KBNA,BNA,Airport / landing facility,NASHVILLE INTL,36.124475,-86.67818055,US,TN,NASHVILLE,APT,2026-06-11,FAA-mined route text,https://www.faa.gov/air_traffic/flight_info/aeronav/Aero_Data/NASR_Subscription/2026-06-11/,Airport alias match for KBNA -> BNA
KBOS,BOS,Airport / landing facility,GENERAL EDWARD LAWRENCE LOGAN INTL,42.36294444,-71.00638888,US,MA,BOSTON,APT,2026-06-11,FAA-mined route text,https://www.faa.gov/air_traffic/flight_info/aeronav/Aero_Data/NASR_Subscription/2026-06-11/,Airport alias match for KBOS -> BOS
KBOS,BOS,Airport / landing facility,GENERAL EDWARD LAWRENCE LOGAN INTL,42.36294444,-71.00638888,US,MA,BOSTON,APT,2026-06-11,FAA-mined route text,https://www.faa.gov/air_traffic/flight_info/aeronav/Aero_Data/NASR_Subscription/2026-06-11/,Airport alias match for KBOS -> BOS
