rank,corridor_key,corridor_name,origin_market,destination_market,origin_airport_iata,origin_airport_icao,destination_airport_iata,destination_airport_icao,primary_route_label,route_family,route_direction,waypoints,validation_status,faa_validation_status,source_basis,route_rank_basis,geometry_source_basis,notes
26,ord_dfw,Chicago (ORD) to Dallas-Fort Worth (DFW),Chicago,Dallas-Fort Worth,ORD,KORD,DFW,KDFW,J-181 / REYTE STAR,jet_route_or_mixed,chicago_to_dallas_fort_worth,ORD|IOW|IRK|BUM|TUL|REYTE|DFW,user_approved_for_testing,needs_faa_validation,User-provided Top-50 aviation route table; user-approved for RouteCast testing regardless of FAA validation status,static_top_50_busiest_route_reference_not_delay_truth,FAA NASR 2026-06-11 waypoint coordinate extraction companion files; coordinates are not delay truth,"Internal RouteCast test corridor only; not FAA approval truth, not delay truth, not ATCSCC operational truth, not dispatch guidance"
27,dfw_ord,Dallas-Fort Worth (DFW) to Chicago (ORD),Dallas-Fort Worth,Chicago,DFW,KDFW,ORD,KORD,J-25 / WYSSAL STAR,jet_route_or_mixed,dallas_fort_worth_to_chicago,DFW|MLC|SGF|STL|BDF|WYSSA|ORD,user_approved_for_testing,needs_faa_validation,User-provided Top-50 aviation route table; user-approved for RouteCast testing regardless of FAA validation status,static_top_50_busiest_route_reference_not_delay_truth,FAA NASR 2026-06-11 waypoint coordinate extraction companion files; coordinates are not delay truth,"Internal RouteCast test corridor only; not FAA approval truth, not delay truth, not ATCSCC operational truth, not dispatch guidance"
28,atl_fll,Atlanta (ATL) to Fort Lauderdale (FLL),Atlanta,Fort Lauderdale,ATL,KATL,FLL,KFLL,J-73 / BLUFI STAR,jet_route_or_mixed,atlanta_to_fort_lauderdale,ATL|AMG|CRG|HIH|BLUFI|FLL,user_approved_for_testing,needs_faa_validation,User-provided Top-50 aviation route table; user-approved for RouteCast testing regardless of FAA validation status,static_top_50_busiest_route_reference_not_delay_truth,FAA NASR 2026-06-11 waypoint coordinate extraction companion files; coordinates are not delay truth,"Internal RouteCast test corridor only; not FAA approval truth, not delay truth, not ATCSCC operational truth, not dispatch guidance"
29,ord_msp,Chicago (ORD) to Minneapolis (MSP),Chicago,Minneapolis,ORD,KORD,MSP,KMSP,J-34 / AGASZ STAR,jet_route_or_mixed,chicago_to_minneapolis,ORD|DLL|ODI|EAU|AGASZ|MSP,user_approved_for_testing,needs_faa_validation,User-provided Top-50 aviation route table; user-approved for RouteCast testing regardless of FAA validation status,static_top_50_busiest_route_reference_not_delay_truth,FAA NASR 2026-06-11 waypoint coordinate extraction companion files; coordinates are not delay truth,"Internal RouteCast test corridor only; not FAA approval truth, not delay truth, not ATCSCC operational truth, not dispatch guidance"
30,dtw_atl,Detroit (DTW) to Atlanta (ATL),Detroit,Atlanta,DTW,KDTW,ATL,KATL,J-43 / SITTH STAR,jet_route_or_mixed,detroit_to_atlanta,DTW|DJB|STV|RLI|SITTH|ATL,user_approved_for_testing,needs_faa_validation,User-provided Top-50 aviation route table; user-approved for RouteCast testing regardless of FAA validation status,static_top_50_busiest_route_reference_not_delay_truth,FAA NASR 2026-06-11 waypoint coordinate extraction companion files; coordinates are not delay truth,"Internal RouteCast test corridor only; not FAA approval truth, not delay truth, not ATCSCC operational truth, not dispatch guidance"
31,lax_sfo,Los Angeles (LAX) to San Francisco (SFO),Los Angeles,San Francisco,LAX,KLAX,SFO,KSFO,BZZZZ DEPARTURE / SERFR STAR,sid_star_procedure_route,los_angeles_to_san_francisco,LAX|VTU|RZS|BZZZZ|AVE|SERFR|SFO,user_approved_for_testing,needs_faa_validation,User-provided Top-50 aviation route table; user-approved for RouteCast testing regardless of FAA validation status,static_top_50_busiest_route_reference_not_delay_truth,FAA NASR 2026-06-11 waypoint coordinate extraction companion files; coordinates are not delay truth,"Internal RouteCast test corridor only; not FAA approval truth, not delay truth, not ATCSCC operational truth, not dispatch guidance"
32,sfo_lax,San Francisco (SFO) to Los Angeles (LAX),San Francisco,Los Angeles,SFO,KSFO,LAX,KLAX,SFO9 DEPARTURE / IRNMN STAR,sid_star_procedure_route,san_francisco_to_los_angeles,SFO|SJC|AVE|FIM|IRNMN|LAX,user_approved_for_testing,needs_faa_validation,User-provided Top-50 aviation route table; user-approved for RouteCast testing regardless of FAA validation status,static_top_50_busiest_route_reference_not_delay_truth,FAA NASR 2026-06-11 waypoint coordinate extraction companion files; coordinates are not delay truth,"Internal RouteCast test corridor only; not FAA approval truth, not delay truth, not ATCSCC operational truth, not dispatch guidance"
33,las_lax,Las Vegas (LAS) to Los Angeles (LAX),Las Vegas,Los Angeles,LAS,KLAS,LAX,KLAX,BOOMR DEPARTURE / RIIVR STAR,sid_star_procedure_route,las_vegas_to_los_angeles,LAS|BLD|HEC|CLARR|RIIVR|LAX,user_approved_for_testing,needs_faa_validation,User-provided Top-50 aviation route table; user-approved for RouteCast testing regardless of FAA validation status,static_top_50_busiest_route_reference_not_delay_truth,FAA NASR 2026-06-11 waypoint coordinate extraction companion files; coordinates are not delay truth,"Internal RouteCast test corridor only; not FAA approval truth, not delay truth, not ATCSCC operational truth, not dispatch guidance"
34,lax_las,Los Angeles (LAX) to Las Vegas (LAS),Los Angeles,Las Vegas,LAX,KLAX,LAS,KLAS,CASTA DEPARTURE / LUXOR STAR,sid_star_procedure_route,los_angeles_to_las_vegas,LAX|DAG|MISEN|LUXOR|LAS,user_approved_for_testing,needs_faa_validation,User-provided Top-50 aviation route table; user-approved for RouteCast testing regardless of FAA validation status,static_top_50_busiest_route_reference_not_delay_truth,FAA NASR 2026-06-11 waypoint coordinate extraction companion files; coordinates are not delay truth,"Internal RouteCast test corridor only; not FAA approval truth, not delay truth, not ATCSCC operational truth, not dispatch guidance"
35,sea_lax,Seattle (SEA) to Los Angeles (LAX),Seattle,Los Angeles,SEA,KSEA,LAX,KLAX,J-1 / MOSTE STAR,jet_route_or_mixed,seattle_to_los_angeles,SEA|BTG|OED|RBL|AVE|MOSTE|LAX,user_approved_for_testing,needs_faa_validation,User-provided Top-50 aviation route table; user-approved for RouteCast testing regardless of FAA validation status,static_top_50_busiest_route_reference_not_delay_truth,FAA NASR 2026-06-11 waypoint coordinate extraction companion files; coordinates are not delay truth,"Internal RouteCast test corridor only; not FAA approval truth, not delay truth, not ATCSCC operational truth, not dispatch guidance"
36,lax_sea,Los Angeles (LAX) to Seattle (SEA),Los Angeles,Seattle,LAX,KLAX,SEA,KSEA,J-65 / HAWKZ STAR,jet_route_or_mixed,los_angeles_to_seattle,LAX|RZS|BZZZZ|LMT|EUG|HAWKZ|SEA,user_approved_for_testing,needs_faa_validation,User-provided Top-50 aviation route table; user-approved for RouteCast testing regardless of FAA validation status,static_top_50_busiest_route_reference_not_delay_truth,FAA NASR 2026-06-11 waypoint coordinate extraction companion files; coordinates are not delay truth,"Internal RouteCast test corridor only; not FAA approval truth, not delay truth, not ATCSCC operational truth, not dispatch guidance"
37,sfo_sea,San Francisco (SFO) to Seattle (SEA),San Francisco,Seattle,SFO,KSFO,SEA,KSEA,J-5 / OLYM2 STAR,jet_route_or_mixed,san_francisco_to_seattle,SFO|ENI|RBL|LMT|EUG|OLYM|SEA,user_approved_for_testing,needs_faa_validation,User-provided Top-50 aviation route table; user-approved for RouteCast testing regardless of FAA validation status,static_top_50_busiest_route_reference_not_delay_truth,FAA NASR 2026-06-11 waypoint coordinate extraction companion files; coordinates are not delay truth,"Internal RouteCast test corridor only; not FAA approval truth, not delay truth, not ATCSCC operational truth, not dispatch guidance"
38,phx_lax,Phoenix (PHX) to Los Angeles (LAX),Phoenix,Los Angeles,PHX,KPHX,LAX,KLAX,BXK DEPARTURE / SEAVU STAR,sid_star_procedure_route,phoenix_to_los_angeles,PHX|BXK|BLH|PALMD|SEAVU|LAX,user_approved_for_testing,needs_faa_validation,User-provided Top-50 aviation route table; user-approved for RouteCast testing regardless of FAA validation status,static_top_50_busiest_route_reference_not_delay_truth,FAA NASR 2026-06-11 waypoint coordinate extraction companion files; coordinates are not delay truth,"Internal RouteCast test corridor only; not FAA approval truth, not delay truth, not ATCSCC operational truth, not dispatch guidance"
39,san_sfo,San Diego (SAN) to San Francisco (SFO),San Diego,San Francisco,SAN,KSAN,SFO,KSFO,J-1 / STINS STAR,jet_route_or_mixed,san_diego_to_san_francisco,SAN|LAX|VTU|RZS|AVE|STINS|SFO,user_approved_for_testing,needs_faa_validation,User-provided Top-50 aviation route table; user-approved for RouteCast testing regardless of FAA validation status,static_top_50_busiest_route_reference_not_delay_truth,FAA NASR 2026-06-11 waypoint coordinate extraction companion files; coordinates are not delay truth,"Internal RouteCast test corridor only; not FAA approval truth, not delay truth, not ATCSCC operational truth, not dispatch guidance"
40,sea_sfo,Seattle (SEA) to San Francisco (SFO),Seattle,San Francisco,SEA,KSEA,SFO,KSFO,J-1 / GOLDN STAR,jet_route_or_mixed,seattle_to_san_francisco,SEA|OED|RBL|ENI|PYE|GOLDN|SFO,user_approved_for_testing,needs_faa_validation,User-provided Top-50 aviation route table; user-approved for RouteCast testing regardless of FAA validation status,static_top_50_busiest_route_reference_not_delay_truth,FAA NASR 2026-06-11 waypoint coordinate extraction companion files; coordinates are not delay truth,"Internal RouteCast test corridor only; not FAA approval truth, not delay truth, not ATCSCC operational truth, not dispatch guidance"
41,jfk_lax,New York (JFK) to Los Angeles (LAX),New York,Los Angeles,JFK,KJFK,LAX,KLAX,Q-42 / J-6 / J-84 / J-128,q_route_or_mixed,new_york_to_los_angeles,JFK|LRP|DJB|IOW|OMN|HEC|LAX,user_approved_for_testing,needs_faa_validation,User-provided Top-50 aviation route table; user-approved for RouteCast testing regardless of FAA validation status,static_top_50_busiest_route_reference_not_delay_truth,FAA NASR 2026-06-11 waypoint coordinate extraction companion files; coordinates are not delay truth,"Internal RouteCast test corridor only; not FAA approval truth, not delay truth, not ATCSCC operational truth, not dispatch guidance"
42,lax_jfk,Los Angeles (LAX) to New York (JFK),Los Angeles,New York,LAX,KLAX,JFK,KJFK,Q-24 / J-110 / J-60,q_route_or_mixed,los_angeles_to_new_york,LAX|BLD|DEN|OMA|OBK|ETG|JFK,user_approved_for_testing,needs_faa_validation,User-provided Top-50 aviation route table; user-approved for RouteCast testing regardless of FAA validation status,static_top_50_busiest_route_reference_not_delay_truth,FAA NASR 2026-06-11 waypoint coordinate extraction companion files; coordinates are not delay truth,"Internal RouteCast test corridor only; not FAA approval truth, not delay truth, not ATCSCC operational truth, not dispatch guidance"
43,den_phx,Denver (DEN) to Phoenix (PHX),Denver,Phoenix,DEN,KDEN,PHX,KPHX,J-52 / PINNS STAR,jet_route_or_mixed,denver_to_phoenix,DEN|ALS|GUP|SJN|PINNS|PHX,user_approved_for_testing,needs_faa_validation,User-provided Top-50 aviation route table; user-approved for RouteCast testing regardless of FAA validation status,static_top_50_busiest_route_reference_not_delay_truth,FAA NASR 2026-06-11 waypoint coordinate extraction companion files; coordinates are not delay truth,"Internal RouteCast test corridor only; not FAA approval truth, not delay truth, not ATCSCC operational truth, not dispatch guidance"
44,phx_den,Phoenix (PHX) to Denver (DEN),Phoenix,Denver,PHX,KPHX,DEN,KDEN,J-244 / RAMMS STAR,jet_route_or_mixed,phoenix_to_denver,PHX|GUP|ALS|HBU|RAMMS|DEN,user_approved_for_testing,needs_faa_validation,User-provided Top-50 aviation route table; user-approved for RouteCast testing regardless of FAA validation status,static_top_50_busiest_route_reference_not_delay_truth,FAA NASR 2026-06-11 waypoint coordinate extraction companion files; coordinates are not delay truth,"Internal RouteCast test corridor only; not FAA approval truth, not delay truth, not ATCSCC operational truth, not dispatch guidance"
45,den_las,Denver (DEN) to Las Vegas (LAS),Denver,Las Vegas,DEN,KDEN,LAS,KLAS,J-154 / GRNCO STAR,jet_route_or_mixed,denver_to_las_vegas,DEN|HBU|DVC|BCE|GRNCO|LAS,user_approved_for_testing,needs_faa_validation,User-provided Top-50 aviation route table; user-approved for RouteCast testing regardless of FAA validation status,static_top_50_busiest_route_reference_not_delay_truth,FAA NASR 2026-06-11 waypoint coordinate extraction companion files; coordinates are not delay truth,"Internal RouteCast test corridor only; not FAA approval truth, not delay truth, not ATCSCC operational truth, not dispatch guidance"
46,ord_den,Chicago (ORD) to Denver (DEN),Chicago,Denver,ORD,KORD,DEN,KDEN,Q-130 / DANDD STAR,q_route_or_mixed,chicago_to_denver,ORD|IOW|OMA|LBF|DANDD|DEN,user_approved_for_testing,needs_faa_validation,User-provided Top-50 aviation route table; user-approved for RouteCast testing regardless of FAA validation status,static_top_50_busiest_route_reference_not_delay_truth,FAA NASR 2026-06-11 waypoint coordinate extraction companion files; coordinates are not delay truth,"Internal RouteCast test corridor only; not FAA approval truth, not delay truth, not ATCSCC operational truth, not dispatch guidance"
47,den_ord,Denver (DEN) to Chicago (ORD),Denver,Chicago,DEN,KDEN,ORD,KORD,Q-48 / BENWR STAR,q_route_or_mixed,denver_to_chicago,DEN|SNY|LNK|DSM|MZV|BENWR|ORD,user_approved_for_testing,needs_faa_validation,User-provided Top-50 aviation route table; user-approved for RouteCast testing regardless of FAA validation status,static_top_50_busiest_route_reference_not_delay_truth,FAA NASR 2026-06-11 waypoint coordinate extraction companion files; coordinates are not delay truth,"Internal RouteCast test corridor only; not FAA approval truth, not delay truth, not ATCSCC operational truth, not dispatch guidance"
48,dfw_lax,Dallas-Fort Worth (DFW) to Los Angeles (LAX),Dallas-Fort Worth,Los Angeles,DFW,KDFW,LAX,KLAX,J-4 / ANZA STAR,jet_route_or_mixed,dallas_fort_worth_to_los_angeles,DFW|ABI|EWM|TUS|PSP|ANZA|LAX,user_approved_for_testing,needs_faa_validation,User-provided Top-50 aviation route table; user-approved for RouteCast testing regardless of FAA validation status,static_top_50_busiest_route_reference_not_delay_truth,FAA NASR 2026-06-11 waypoint coordinate extraction companion files; coordinates are not delay truth,"Internal RouteCast test corridor only; not FAA approval truth, not delay truth, not ATCSCC operational truth, not dispatch guidance"
49,lax_dfw,Los Angeles (LAX) to Dallas-Fort Worth (DFW),Los Angeles,Dallas-Fort Worth,LAX,KLAX,DFW,KDFW,J-74 / VKCCY STAR,jet_route_or_mixed,los_angeles_to_dallas_fort_worth,LAX|JLI|PXR|SQS|BYP|VKCCY|DFW,user_approved_for_testing,needs_faa_validation,User-provided Top-50 aviation route table; user-approved for RouteCast testing regardless of FAA validation status,static_top_50_busiest_route_reference_not_delay_truth,FAA NASR 2026-06-11 waypoint coordinate extraction companion files; coordinates are not delay truth,"Internal RouteCast test corridor only; not FAA approval truth, not delay truth, not ATCSCC operational truth, not dispatch guidance"
50,sfo_den,San Francisco (SFO) to Denver (DEN),San Francisco,Denver,SFO,KSFO,DEN,KDEN,J-84 / LANDR STAR,jet_route_or_mixed,san_francisco_to_denver,SFO|SAC|BAM|MVA|OAL|LANDR|DEN,user_approved_for_testing,needs_faa_validation,User-provided Top-50 aviation route table; user-approved for RouteCast testing regardless of FAA validation status,static_top_50_busiest_route_reference_not_delay_truth,FAA NASR 2026-06-11 waypoint coordinate extraction companion files; coordinates are not delay truth,"Internal RouteCast test corridor only; not FAA approval truth, not delay truth, not ATCSCC operational truth, not dispatch guidance"
